gene_id,symbol,name
ENSG00000181001,OR52N1,olfactory receptor family 52 subfamily N member 1
ENSG00000181004,BBS12,Bardet-Biedl syndrome 12
ENSG00000181007,ZFP82,ZFP82 zinc finger protein
ENSG00000181009,OR52N5,olfactory receptor family 52 subfamily N member 5
ENSG00000181016,LSMEM1,leucine rich single-pass membrane protein 1
ENSG00000181017,OR56B2,olfactory receptor family 56 subfamily B member 2
ENSG00000181019,NQO1,NAD(P)H quinone dehydrogenase 1
ENSG00000181026,AEN,apoptosis enhancing nuclease
ENSG00000181027,FKRP,fukutin related protein
ENSG00000181029,TRAPPC5,trafficking protein particle complex subunit 5
ENSG00000181031,RPH3AL,rabphilin 3A like (without C2 domains)
ENSG00000181035,SLC25A42,solute carrier family 25 member 42
ENSG00000181038,METTL23,"methyltransferase 23, arginine"
ENSG00000181045,SLC26A11,solute carrier family 26 member 11
